site,plot,subplot,treatment,spal,suaeda,salicornia,disp,iva,sppa,syte,atriplex,solidago,lina,bare,dead,wrack,forbs
12,5,18,cage control,28.5,0,-0.1,-2,-2,-0.5,0,0,0,0,18,-67,25,0
12,5,19,cage control,11,0,-0.1,0,-1,-1,0,0,0,0,22,-56,25,0
12,5,20,cage control,21,-0.1,-0.1,3,0,5,0,0,0,0,20,-55,6,0
13,1,1,cage control,10,0,15,0,0,39,0,0,0,0,-5,-63,4,0
13,1,2,cage control,0,2.9,8.9,2,0,61,0,0,0,0,4,-81,2,0
13,1,3,cage control,2,0,0.4,-1,-1.5,59,0,0,0,0,-50,-8,-1,0
13,1,4,cage control,1,0,0.1,17,-3,30,0,0,0,0,-8,-25,-12,0
13,1,5,cage control,0,0,0,6,17,20,0,0,0,0,1,-34,-10,0
13,1,6,cage control,0,15,0.9,-1,6,28,0,0,0,0,-39,-10,0,0
13,1,7,cage control,0,0,0,-6,26,25,0,0,0,0,1,-23,-23,0
13,1,8,cage control,2,1.4,-0.1,6.5,-4,29,0,0,0,0,-13,-15,-7,0
13,1,9,cage control,0,0,7,7,-6,10,0,0,0,0,3,-10,-11,0
13,1,10,cage control,7.5,15,4,13,4,4,0,0,0,0,19,-6,-60.5,0
13,1,11,cage control,10,14.9,4.4,18,7.9,4,0,0,0,0,-5.5,-29,-25,0
13,1,12,cage control,13,3.5,0.5,4,2.4,22,0,0,0,0,4,-25,-23.5,0
13,1,13,cage control,19,0.9,0.1,14,1.9,33,0,0,0,0,-15,-49,-5,0
13,1,14,cage control,12,0,27,15,0,6,0.1,0,0,0,-7,-53,0,0.1
13,1,15,cage control,11,0,5.9,15,0,21.5,2.5,0,-0.1,0,-2,-49,-5,2.4
13,1,16,cage control,9,0,0.5,11.5,0,24,0,0,0,0,-12,-33,0,0
13,1,17,cage control,12,0,4.9,6,0,26,1,0,0,0,-17,-31,-2,1
13,1,18,cage control,13,0.4,2,2,0,30.5,0,0,0,0,-5,-43,0,0
13,1,19,cage control,21,0,3,11,0,33,0,0,0,0,-26,-37,-5,0
13,1,20,cage control,14,0,27,10,0,13,0,0,0,0,-11,-57,4,0
13,3,1,cage control,11.5,0,16.5,12,0,11.5,0,0,0,0,3,-57.5,3,0
13,3,2,cage control,17.5,0,8,10,0,24,0,0,0,0,12,-67,-4.5,0
13,3,3,cage control,8,0,14,7,2.5,39.5,0,0,0,0,3,-70,-4,0
13,3,4,cage control,0,3,0,46,-20,11,0,0,0,0,8,-49,1,0
13,3,5,cage control,0,1.9,2,6,-1.5,51.5,0,0,0,0,3,-64,1,0
13,3,6,cage control,0,0,0,15,-3,40,0,0,0,0,-51,-6,5,0
13,3,7,cage control,0.1,0,0.1,4,-5,51,0,0,0,0,-10,-40,0,0
13,3,8,cage control,0,0,0,7,0,45,0,0,0,0,-34,-31,13,0
13,3,9,cage control,-1,0,1,17,-12,47,0,0,0,0,-8,-35,-9,0
13,3,10,cage control,3,0,0,0.5,2,15,0,0,0,0,-4,-26.5,10,0
13,3,11,cage control,3,0,7.9,1,-7.5,23.5,0,0,0,0,5,-18,-15,0
13,3,12,cage control,9,0,0,7,0,42,0,0,0,0,1,-35,-24,0
13,3,13,cage control,13,0,0.5,8,7,38.5,0,0,0,0,15,-15,-67,0
13,3,14,cage control,17,2.9,0.9,-15,5,24.9,0,0,0,0,14,-25,-25,0
13,3,15,cage control,16,0,0.4,-6.5,0,29,0,0,0,0,-5,-29,-5,0
13,3,16,cage control,7,3.9,-0.1,-7,0,32,0,0,0,0,-14,-20,-2,0
13,3,17,cage control,8,0,2,-2,0,23,0,0,0,0,-4,-28,1,0
13,3,18,cage control,-4,0,13,-3,0,17,0,0,0,0,-4,-27,8,0
13,3,19,cage control,2,0,2,-6,0,19,0,0,0,0,-1,-17,1,0
13,3,20,cage control,4,0,11,-3,0,8,0,0,0,0,4,-21,-3,0
13,5,1,cage control,-4,-0.1,16,5,0,3,8,0,-5,-4,10,-33,4,-1
13,5,2,cage control,1,0,12,3,0,13,3,0,-2,0,-9,-23,2,1
13,5,3,cage control,4,0,15,3,0,17.9,3,0,-2,0,-19,-23,1,1
13,5,4,cage control,-4,0,14,3,0,34,0,0,0,0,3,-50,0,0
13,5,5,cage control,21,0,10.5,-6,-4,-1,0,0,0,0,-3,-19,1.5,0
13,5,6,cage control,0,0,12,-5,-4,18,0,0,0,0,-8,-13,0,0
13,5,7,cage control,0,5,2,-19,-0.1,16,0,0,0,0,11,-15,0,0
13,5,8,cage control,0,0,0,-11,-17,21,0,0,0,0,6,-9,0,0
13,5,9,cage control,0.5,0,3,-19,-2,31.9,0,0,0,0,0,-12.5,-2,0
13,5,10,cage control,0,0,-1,-4,-11,26,0,0,0,0,3,-13,0,0
13,5,11,cage control,0,-0.1,2.9,-20,-2,42,0,0,0,0,2,-27,2,0
13,5,12,cage control,2.5,-0.1,0,-16,-4.5,56.5,0,0,0,0,-18,-20.5,0,0
13,5,13,cage control,7,-0.1,8,-15,-0.1,47,0,0,0,0,-17,-18,-12,0
13,5,14,cage control,6,0,19,-7,0,22,3,0,-0.1,0,-22,-29,8,2.9
13,5,15,cage control,7,0,5,3,0,13,4.5,0,-0.1,0,-2.5,-31,1,4.4
13,5,16,cage control,-3,0,16,6,0,6,8,0,-1,0,-9,-23,0,7
13,5,17,cage control,0,0,14.5,-5,0,15,0.5,0,-2,0,1,-24,0,-1.5
13,5,18,cage control,3,0,-12,4,0,22,2,0,-1,0,3,-23,2,1
13,5,19,cage control,1,0,33,-10,0,10,4,0,-1,0,-8,-28,-1,3
13,5,20,cage control,-2,0,11,6,0,2,3,0,-1,0,-8,-17,6,2
